#sampleName=simulated_Ler0_1
#filename1=data/imputation_rawdata/simulated_Ler0_2.fq
HapIds	count
80131ffffce835aa3b35475c38f87d38,c31bb29facde1a5fc3e1be0e565602c4,d1a68e431f796a2eb6b23d427d136d14	15
076df9ad652cbb0d2d42549d6563407d,7ca41ed1df8c1365b47b96e730124a04	17
56dc3d8a6d4ed06a5468b948a2897228,67f855d516a734902a4b22c3672e7c63	9
2c83171b3c481b4b4fd57009947b140c	8
140f7ab18f2150c99e71363213cd6dc4,8067ba1f6466a0eb21cf82374f2e414f,cf7ba7e66c51499f4f9c6aca175974d8	5
b8e24b902d7c24ed796361f0cf109d70,feef6cff878680ea75760414cb5e17ae	4
377383a1c4ea8eecb974d34b41e68c25,a216e3b186882ea5de30ff6c635edf0d,c5f2a40a10b9ed216c927d2d376b07fa	19
bb05a4a5e4dd76bdf6686b54e4be0dd3	1
5e50b70e84ca929319f64618deeec800,6da5f4c53122ee34819b9274dc297aa1,dba49f52e6aed96aeb2edddff27d7bff	26
a76b6a1313abfb17e75c49f9efc446f9,b3ad41ace8140d86e566a76716b95eab	4
4bac7fce2c769c70635559ea4f5db84b	13
4cd5719edd7d2549805d6febf8fbd12f	8
c08f42d1916511a8f8271847630d0c85,c731cdfdc5c8325b063ace9c2c901f4d,f184f1c05d8d342ad244446a5297279b	17
d93b00bb5d2d6ca4dd892d2fd7869292	4
7d78775a2ab76d44a3a650b15b6356b1,f2cc8815cb2d8541442e6e16356a875c	15
9824d1b71a2514abbb511d087c7c5134,a67ab2595e9a57cb4b464bb26598ad13,ae2eedde2e67aab61a34429f15db1c06	13
06bb6c74d1288721ac557055ecc0286c	4
390b858bfd389706491b3e0da24c26df,ba9514ff5a221e3a4e3e8c5eb8d60f5b	13
22475fff97150ab90c3da9940116edf4,34664b2baf3fa97743e2328aa7b04b31	38
390b858bfd389706491b3e0da24c26df,450b66a6fabba6a209e4417fa16c4f19,ba9514ff5a221e3a4e3e8c5eb8d60f5b	2
404044a8b4b3fd751c7351be954b1b96	11
6b721fd32cc784d39d3fa23ab6c32cd1	12
93e909bc72cd3c90c3c4ce926833fe35,a2baa1b226019efda63949eaaf19cf5d,e6e570c03e256a09a937c7303f23071b	82
8f3c183c0aabd3ce49c7ddef4784c8c5,cf8509bd85b6a4b2879f5c0d8248763f,d0cc2fbed14631fc40b0a70c6817344f	72
5c39e2d865174cfa0ba7258f35caf5bb,6243ecb2e58ed67e99549363bcfde3a5,a49e02721bf84f1cf54c5fa73081bfa5	37
78dc39325442869af1ce8e15051e444e	5
bec0507007b15aacdb3ef42fdc54ef6d,ed519140299184d7dd6764ccf21d592b	4
0c9debf788b79769638ce5d11cf6fa36,cf9ca1e9cd02713fc44575b4834e98d7	6
65af8bc4fcf1fdc546dcbefe207c59ed	4
41a13959e1ab219a06d921a633224ded,c9e87a9503e678010fe8e8cc15aaf982,f0ac2f7d8f76cc299e857207e36a29e7	9
a68db854749631a9bcd8870b3481fa8b	8
4b1338aae852a5d0bbcdc944b17a6528	3
747087e175e81d3417448d3fc3a68f1f,cb3bc32409ac1148ec5704b67bffbfd8,fb10362fc09c0f1d52deec964ba17dd6	55
03bff0c372f345e4301ac01bf407588a,e9f8ad8658d057bec7aab7d1c6949083	28
0c123ecae65e95342358ff41be3a3864	3
6ed8561cf96daf9e9bcfa4924d678380	4
aa3e5e948d0a6a0cebabe2aa72d94e51,c922e387865dbe521cd4b2ada6c73fb6	6
6d2c2a65e57433303b8fbc2d60fd2ed4,c07078b56432b54c90b74cdeba070d53	4
025b848075593c5d267ab2d76e757458,25d2df82336dac78ef8e6940175320a0,3d8e594fd09668a18fd3b9933a6359a2	31
02b3c66d23d56deac01f9a6a6b903584,418f5bfbe852ee8fe67abbad4d9be07f	10
2a65986ac18e282f070f00b38868a2cc,4011fc6e78cfa69fd54feb575db1afeb	5
04fa87d5657150329dbddc465645bdfa	7
a0ac71dd776c11ce99e4a59fbf38f6a5	8
9f51136856e132c244973ea28b7e6412,e95afeb578a9b7c4b7297368b7d5f929	31
5c39e2d865174cfa0ba7258f35caf5bb	11
1df9fee2e03504b4f2ff11b76929fc0e	24
1c013d92a8cde07bf75598ace32040fd,91369e9dfdec67f9e5952303c76f8ae1,fd0ea0316d44a69153f6187396487af8	8
0b9d5874966190559f3bb2237193f306,27dda2b93c44255b0eef1a5e48e16006,c52134940830be045308e95a45eb8066	10
24b9f17c4a518258b515458e4e223606,7f55af0402fe0feaf9b542cdc238bcc2	3
b48b3b41dbcbd9ea97976c2dff90ab03	8
cda0d96df04894c3111c045ddc6f51de	2
8a17eef38a278801af596566987da036	12
1895ba370e70b63169a7891efed1dd5a,42d3785f46e5cacaf1004eac61d9f79e,54b3fa983490565d04948747755dc289	29
82fe61380b831d033fe9b5330568fbc5,e9f8ad8658d057bec7aab7d1c6949083	4
cf7ba7e66c51499f4f9c6aca175974d8	3
87ab376fad1123e5070e65eede0e1724,dcf011ea6605842bd22c964a8d4ddf14	1
9f51136856e132c244973ea28b7e6412,c64b4a76e0d812b70a78265659324454,e95afeb578a9b7c4b7297368b7d5f929	23
6bc3af08f119e1dd616dae54a33cbcc0,b48b3b41dbcbd9ea97976c2dff90ab03	5
57a34050ac86e6309e37c45a40143ad2,68294613b07b646bda7a6241fa2d249a,e8fa325dfafb360681bdce5f3b7ddaa3	11
6304a2ff7c15f5e64ffbeef6c9bd6502	17
31770418e44c846addb73c23d62b477a,4a935af9c31995375cc58e5047bbef74	12
28ac19e2e4a4b1fc558b4a06b662392d,93c52c873ffc9e8d43d2dc5e66cb3306,e825d0c78e40d5435aea8c2ebfc1c1d9	2
fc26ca8f336691ba555db7eb7260515c	4
5f52ea5725eb3c641fb2c6657cb101d4,ede81f5a269d2a8a5e84ae846ccdc27c,f96cfe89bd073870ce7897ecdd0af340	11
07d7b4226f2f1121f65c6142db974e2b,67f28b059090842246b26f6b9db70276	6
ccf1564e961bc11eb498ab3141fee4d4	54
036cece6d0fe4117724332bb700e1dc2,75a08cecc22365b5e39c0f4c480c36e8	8
f3cc767d89f7fd8fc601a06c8d1c5364	8
aa30e187ee6df6c9ca85c5d4dafe8484,ad97c513dac13d17eeacec7e3c30b7ca,ed625fc44f6786e9f95fd42c5b60abc7	12
075fd21cd41d577edf6307c6dd68b5a2	2
17fe23794f13c1c99dd0f1987ccb7be6,8d11eba145e74c8c82a9acf65f0ec47c	5
7fa0ee68618c5373041e0bf78abb17a9,b193d984ad6146c0977c1ba58eaae990	7
24b9f17c4a518258b515458e4e223606,c73cd7d96cbdad7f68c6181449ef4c96	3
1ee63d8460e337ae59c4c2d2ad156720,9d97fc465d500f5611e3743bfcd52c6b,9dc5aa46dd6810cc38f1f12fddee0c2c	6
24e707816fab90a9e569d96a3122de48,3af724f3d2ddf9ad3ce18bb40f9872da,710b5306e6acc726a8070ce5a46f70a2	10
2cb4aa25488b404fcf30d396907fd86b,4adccfe743010bc9130e24a46dc901bd,a0ac71dd776c11ce99e4a59fbf38f6a5	26
56029ae03d72ec10566be2b2c9649da1,a273aa5dada8a68616ccfe78264be3d3,bde4c5bafef8bb77f7959c1623dc51ae	11
2c83171b3c481b4b4fd57009947b140c,315f7ee5a6891ab565558cd28e8b46eb,f5aeb1e5aed69e9b941689e51b8a5cf9	10
bde4c5bafef8bb77f7959c1623dc51ae	12
3c054d613923116316d4a6da605706ce,d8e33baed4379c6d99b1a95d67205b98	8
1df9fee2e03504b4f2ff11b76929fc0e,c78b838582834206a1f791c84d26a1c5	4
e95afeb578a9b7c4b7297368b7d5f929	3
9431a32d17541576b602b413a81fac56,c8e4153796d068f04112526310bac60a	19
02c5c5ac495be5b808dbc2b682fab204,3b3cdcb6f4a818b47b6ea5c3913e54c2,c9cf1d2b59f7877c4e3cdf0654063324	8
5c39e2d865174cfa0ba7258f35caf5bb,6243ecb2e58ed67e99549363bcfde3a5	9
67f28b059090842246b26f6b9db70276	7
7b74216e261e0f45bfaff4ad48bcb7cf,8bcaddd8c4cc2d95be90135e29aff0f8,b2b9ee860feb33e266e9c7c858348ea0	4
7e7fba8e3de8103291c7c00f4d2f8ef1,aa3e5e948d0a6a0cebabe2aa72d94e51,c922e387865dbe521cd4b2ada6c73fb6	10
8f3c183c0aabd3ce49c7ddef4784c8c5,d0cc2fbed14631fc40b0a70c6817344f	2
8067ba1f6466a0eb21cf82374f2e414f,cf7ba7e66c51499f4f9c6aca175974d8	3
4143cc0d1ebe043dc23b0e7a6d9a4292,7d78775a2ab76d44a3a650b15b6356b1,f2cc8815cb2d8541442e6e16356a875c	58
6a1c37f9d3d875b1de34b23c34ffe5a5	5
6c4d8306c7706bf4f48609ec00f9a521,ec4af8985f9a6a892264f6bcc4e41f6f,f96f3486ccbfb6af7dd16a6c71508070	10
0c123ecae65e95342358ff41be3a3864,eeaae571e86e6125608548f8938146f2	2
736b33aa3f875167e1514c0bb9491e40	4
3af724f3d2ddf9ad3ce18bb40f9872da,710b5306e6acc726a8070ce5a46f70a2	8
528092fbb6bf71d6924ccc87c990a4a2	3
6c4d8306c7706bf4f48609ec00f9a521	20
1ee63d8460e337ae59c4c2d2ad156720,9d97fc465d500f5611e3743bfcd52c6b	7
aa30e187ee6df6c9ca85c5d4dafe8484	2
6bbd6a5bc3a4322c095b2326515f2e7d	8
0b9d5874966190559f3bb2237193f306,c52134940830be045308e95a45eb8066	1
54cd59964a68d4f8c234306da96c97cb	8
78dc39325442869af1ce8e15051e444e,e78cf607624c5d2a8644cd7c1b9c233a	26
62b50f5aaba5cfcd5cdacac818e48c58,fc64a2ea64150fdf875d2fef8e484537,fe7e1550af676844381e9c8998dc102a	25
24b9f17c4a518258b515458e4e223606,7f55af0402fe0feaf9b542cdc238bcc2,c73cd7d96cbdad7f68c6181449ef4c96	14
c31bb29facde1a5fc3e1be0e565602c4	4
820f069d1303c1eccd61fda56bf8b39d	8
3a798696b35afa595c120ddb1df72ae8,ee37cccfbbd9e98cb255143787028834	4
241167ffed98dbdd2b91481e4f5dde3f,381fe1be368f1b02141ea49fe9dc0985	2
37c06a865f2155b06172fa63ca704b9c	2
b54d828ef96ac56dfc4b72d2b985b4d2,badf0388cdedf24751b24036514e1dcc	1
57fdd8d0249fdbf9196ebb57de17c209,6c382f28eb2f735bb55b9cd6f4ebce76	4
1e2e780b550f3869a9a02e8553b18d0f,37f3560672bd6b1a28a69dd380e46354,b7561ce6a4d984e20b8461cc5732cb6b	15
4adccfe743010bc9130e24a46dc901bd,a0ac71dd776c11ce99e4a59fbf38f6a5	6
2a65986ac18e282f070f00b38868a2cc	11
7ca41ed1df8c1365b47b96e730124a04	7
77de726268c74027f761796b8f0a1317,78e9787ac5837cf74cd1627317543567,ce495178039eb5d06687a1e220cad68e	8
57a34050ac86e6309e37c45a40143ad2,e8fa325dfafb360681bdce5f3b7ddaa3	5
aa3aa554830394efc4979a5234df39a5	11
ce294b049095ae2c0adef6d3deec273c	23
91369e9dfdec67f9e5952303c76f8ae1,fd0ea0316d44a69153f6187396487af8	3
b815da7ed2c124639fb134acb2a58feb,d771bb5301856499b9562a11a25c5109,ec05012b6a5c2bf281431bf01ba862bc	8
157bd694d96048ac73202538ba2f909f,accf6b2b5934b2fc1f3759369f02e27f,ae4b9867857cd3b055ecca06ee57ec54	14
59c10e6f90f5b7db3186dd061437c7a3,6e91cfb8274835602163905029731ad7,d4f7865a290996a6b980ac2b9d3dbb9f	14
feef6cff878680ea75760414cb5e17ae	13
bdee67814d0dd8a6f41ce4ecc33c9837,e1b8b97f03e1816dbca72ddc042f5322,fec5913c640ee2efdb3472b15bd2c26b	33
528092fbb6bf71d6924ccc87c990a4a2,dcb7ba6bf1dd30e17faf8dbd1bfb8f24,f2ad1691c71cf077e34cc42fd96eee96	14
025b848075593c5d267ab2d76e757458,25d2df82336dac78ef8e6940175320a0	33
6ae2725201cb6ffad2d008bff3b4241d	8
1380bd0651e7100f8aeb876d55c40cbd,7fee14bb10b164972e00d9fa0af6a9e0	3
0268cb1e420f1c114988f793c6228c3d,2cda357b6d39a4852158c39e1c5fa27e	3
5f52ea5725eb3c641fb2c6657cb101d4,ede81f5a269d2a8a5e84ae846ccdc27c	8
